time,milliseconds,measurement,value,field,type,host,device,platform
15:46:17:290,65,IMU,48,ax,acceleration,Name,Device1,Android
15:46:17:290,65,IMU,922,ay,acceleration,Name,Device1,Android
15:46:17:290,65,IMU,-266,az,acceleration,Name,Device1,Android
15:46:17:317,92,IMU,48,ax,acceleration,Name,Device1,Android
15:46:17:317,92,IMU,922,ay,acceleration,Name,Device1,Android
15:46:17:317,92,IMU,-266,az,acceleration,Name,Device1,Android
15:46:17:331,106,IMU,66,ax,acceleration,Name,Device1,Android
15:46:17:331,106,IMU,914,ay,acceleration,Name,Device1,Android
15:46:17:331,106,IMU,-268,az,acceleration,Name,Device1,Android
15:46:17:353,128,IMU,9,gx,gyration,Name,Device1,Android
15:46:17:353,128,IMU,-2,gy,gyration,Name,Device1,Android
15:46:17:353,128,IMU,-2,gz,gyration,Name,Device1,Android
15:46:17:376,151,IMU,1277,mx,magnet,Name,Device1,Android
15:46:17:376,151,IMU,-5650,my,magnet,Name,Device1,Android
15:46:17:376,151,IMU,3692,mz,magnet,Name,Device1,Android
15:46:17:399,174,IMU,25,ax,acceleration,Name,Device1,Android
15:46:17:399,174,IMU,922,ay,acceleration,Name,Device1,Android
15:46:17:399,174,IMU,-276,az,acceleration,Name,Device1,Android
15:46:17:421,196,IMU,9,gx,gyration,Name,Device1,Android
15:46:17:421,196,IMU,-1,gy,gyration,Name,Device1,Android
15:46:17:421,196,IMU,0,gz,gyration,Name,Device1,Android
15:46:17:443,218,IMU,1262,mx,magnet,Name,Device1,Android
15:46:17:443,218,IMU,-5646,my,magnet,Name,Device1,Android
15:46:17:443,218,IMU,3704,mz,magnet,Name,Device1,Android
15:46:17:468,244,sensor,158,a0,adc,Name,Device1,Android
15:46:17:488,263,battery,89,b,battery,Name,Device1,Android
15:46:17:511,286,IMU,-154,ax,acceleration,Name,Device1,Android
15:46:17:511,286,IMU,868,ay,acceleration,Name,Device1,Android
15:46:17:511,286,IMU,-309,az,acceleration,Name,Device1,Android
15:46:17:533,308,environment,24.45,temp,device,Name,Device1,Android
15:46:17:533,308,environment,32.74,hum,device,Name,Device1,Android
15:46:17:533,308,environment,413.08,alt,device,Name,Device1,Android
15:46:17:556,331,IMU,-3,gx,gyration,Name,Device1,Android
15:46:17:556,331,IMU,15,gy,gyration,Name,Device1,Android
15:46:17:556,331,IMU,-1,gz,gyration,Name,Device1,Android
15:46:17:578,353,IMU,1256,mx,magnet,Name,Device1,Android
15:46:17:578,353,IMU,-5636,my,magnet,Name,Device1,Android
15:46:17:578,353,IMU,3685,mz,magnet,Name,Device1,Android
15:46:17:601,376,sensor,156,a0,adc,Name,Device1,Android
15:46:17:636,411,IMU,168,ax,acceleration,Name,Device1,Android
15:46:17:636,411,IMU,903,ay,acceleration,Name,Device1,Android
15:46:17:636,411,IMU,-227,az,acceleration,Name,Device1,Android
15:46:17:646,421,IMU,14,gx,gyration,Name,Device1,Android
15:46:17:646,421,IMU,35,gy,gyration,Name,Device1,Android
15:46:17:646,421,IMU,5,gz,gyration,Name,Device1,Android
15:46:17:669,444,IMU,1180,mx,magnet,Name,Device1,Android
15:46:17:669,444,IMU,-5612,my,magnet,Name,Device1,Android
15:46:17:669,444,IMU,3584,mz,magnet,Name,Device1,Android
15:46:17:690,466,sensor,155,a0,adc,Name,Device1,Android
15:46:17:713,488,IMU,185,ax,acceleration,Name,Device1,Android
15:46:17:713,488,IMU,975,ay,acceleration,Name,Device1,Android
15:46:17:713,488,IMU,-171,az,acceleration,Name,Device1,Android
15:46:17:736,511,IMU,5,gx,gyration,Name,Device1,Android
15:46:17:736,511,IMU,41,gy,gyration,Name,Device1,Android
15:46:17:736,511,IMU,15,gz,gyration,Name,Device1,Android
15:46:17:758,533,IMU,1106,mx,magnet,Name,Device1,Android
15:46:17:758,533,IMU,-5541,my,magnet,Name,Device1,Android
15:46:17:758,533,IMU,3578,mz,magnet,Name,Device1,Android
15:46:17:781,556,sensor,111,a0,adc,Name,Device1,Android
15:46:17:806,581,IMU,181,ax,acceleration,Name,Device1,Android
15:46:17:806,581,IMU,980,ay,acceleration,Name,Device1,Android
15:46:17:806,581,IMU,-320,az,acceleration,Name,Device1,Android
15:46:17:826,601,IMU,27,gx,gyration,Name,Device1,Android
15:46:17:826,601,IMU,27,gy,gyration,Name,Device1,Android
15:46:17:826,601,IMU,16,gz,gyration,Name,Device1,Android
15:46:17:848,623,IMU,992,mx,magnet,Name,Device1,Android
15:46:17:848,623,IMU,-5503,my,magnet,Name,Device1,Android
15:46:17:848,623,IMU,3550,mz,magnet,Name,Device1,Android
15:46:17:871,646,sensor,102,a0,adc,Name,Device1,Android
15:46:17:893,668,IMU,343,ax,acceleration,Name,Device1,Android
15:46:17:893,668,IMU,1110,ay,acceleration,Name,Device1,Android
15:46:17:893,668,IMU,-498,az,acceleration,Name,Device1,Android
15:46:17:915,690,IMU,49,gx,gyration,Name,Device1,Android
15:46:17:915,690,IMU,-62,gy,gyration,Name,Device1,Android
15:46:17:915,690,IMU,-3,gz,gyration,Name,Device1,Android
15:46:17:938,713,IMU,991,mx,magnet,Name,Device1,Android
15:46:17:938,713,IMU,-5484,my,magnet,Name,Device1,Android
15:46:17:938,713,IMU,3620,mz,magnet,Name,Device1,Android
15:46:17:961,736,sensor,120,a0,adc,Name,Device1,Android
15:46:17:983,758,IMU,179,ax,acceleration,Name,Device1,Android
15:46:17:983,758,IMU,697,ay,acceleration,Name,Device1,Android
15:46:17:983,758,IMU,-273,az,acceleration,Name,Device1,Android
15:46:18:6,781,IMU,-3,gx,gyration,Name,Device1,Android
15:46:18:6,781,IMU,-342,gy,gyration,Name,Device1,Android
15:46:18:6,781,IMU,-32,gz,gyration,Name,Device1,Android
15:46:18:28,803,IMU,1126,mx,magnet,Name,Device1,Android
15:46:18:28,803,IMU,-5532,my,magnet,Name,Device1,Android
15:46:18:28,803,IMU,4001,mz,magnet,Name,Device1,Android
15:46:18:50,826,sensor,100,a0,adc,Name,Device1,Android
15:46:18:76,851,IMU,545,ax,acceleration,Name,Device1,Android
15:46:18:76,851,IMU,450,ay,acceleration,Name,Device1,Android
15:46:18:76,851,IMU,-206,az,acceleration,Name,Device1,Android
15:46:18:96,871,IMU,-43,gx,gyration,Name,Device1,Android
15:46:18:96,871,IMU,-276,gy,gyration,Name,Device1,Android
15:46:18:96,871,IMU,-7,gz,gyration,Name,Device1,Android
15:46:18:118,893,IMU,1458,mx,magnet,Name,Device1,Android
15:46:18:118,893,IMU,-5644,my,magnet,Name,Device1,Android
15:46:18:118,893,IMU,4322,mz,magnet,Name,Device1,Android
15:46:18:141,916,sensor,40,a0,adc,Name,Device1,Android
15:46:18:163,938,IMU,-123,ax,acceleration,Name,Device1,Android
15:46:18:163,938,IMU,633,ay,acceleration,Name,Device1,Android
15:46:18:163,938,IMU,-508,az,acceleration,Name,Device1,Android
15:46:18:185,960,IMU,-23,gx,gyration,Name,Device1,Android
15:46:18:185,960,IMU,-288,gy,gyration,Name,Device1,Android
15:46:18:185,960,IMU,-21,gz,gyration,Name,Device1,Android
15:46:18:208,983,IMU,1858,mx,magnet,Name,Device1,Android
15:46:18:208,983,IMU,-5742,my,magnet,Name,Device1,Android
15:46:18:208,983,IMU,4449,mz,magnet,Name,Device1,Android
15:46:18:231,1006,sensor,68,a0,adc,Name,Device1,Android
15:46:18:256,1031,IMU,-1014,ax,acceleration,Name,Device1,Android
15:46:18:256,1031,IMU,1276,ay,acceleration,Name,Device1,Android
15:46:18:256,1031,IMU,-984,az,acceleration,Name,Device1,Android
15:46:18:275,1050,IMU,9,gx,gyration,Name,Device1,Android
15:46:18:275,1050,IMU,-81,gy,gyration,Name,Device1,Android
15:46:18:275,1050,IMU,-36,gz,gyration,Name,Device1,Android
15:46:18:299,1074,IMU,2176,mx,magnet,Name,Device1,Android
15:46:18:299,1074,IMU,-5792,my,magnet,Name,Device1,Android
15:46:18:299,1074,IMU,4478,mz,magnet,Name,Device1,Android
15:46:18:321,1096,sensor,184,a0,adc,Name,Device1,Android
15:46:18:343,1119,IMU,-7,ax,acceleration,Name,Device1,Android
15:46:18:343,1119,IMU,1189,ay,acceleration,Name,Device1,Android
15:46:18:343,1119,IMU,-180,az,acceleration,Name,Device1,Android
15:46:18:366,1141,IMU,-77,gx,gyration,Name,Device1,Android
15:46:18:366,1141,IMU,-3,gy,gyration,Name,Device1,Android
15:46:18:366,1141,IMU,11,gz,gyration,Name,Device1,Android
15:46:18:388,1163,IMU,2219,mx,magnet,Name,Device1,Android
15:46:18:388,1163,IMU,-5779,my,magnet,Name,Device1,Android
15:46:18:388,1163,IMU,4437,mz,magnet,Name,Device1,Android
15:46:18:411,1186,sensor,247,a0,adc,Name,Device1,Android
15:46:18:434,1209,IMU,223,ax,acceleration,Name,Device1,Android
15:46:18:434,1209,IMU,1045,ay,acceleration,Name,Device1,Android
15:46:18:434,1209,IMU,185,az,acceleration,Name,Device1,Android
15:46:18:456,1231,IMU,-77,gx,gyration,Name,Device1,Android
15:46:18:456,1231,IMU,-138,gy,gyration,Name,Device1,Android
15:46:18:456,1231,IMU,47,gz,gyration,Name,Device1,Android
15:46:18:478,1253,IMU,2221,mx,magnet,Name,Device1,Android
15:46:18:478,1253,IMU,-5786,my,magnet,Name,Device1,Android
15:46:18:478,1253,IMU,4271,mz,magnet,Name,Device1,Android
15:46:18:501,1276,sensor,412,a0,adc,Name,Device1,Android
15:46:18:523,1298,IMU,-164,ax,acceleration,Name,Device1,Android
15:46:18:523,1298,IMU,1036,ay,acceleration,Name,Device1,Android
15:46:18:523,1298,IMU,262,az,acceleration,Name,Device1,Android
15:46:18:546,1321,IMU,-72,gx,gyration,Name,Device1,Android
15:46:18:546,1321,IMU,-99,gy,gyration,Name,Device1,Android
15:46:18:546,1321,IMU,77,gz,gyration,Name,Device1,Android
15:46:18:568,1343,IMU,2175,mx,magnet,Name,Device1,Android
15:46:18:568,1343,IMU,-5869,my,magnet,Name,Device1,Android
15:46:18:568,1343,IMU,4142,mz,magnet,Name,Device1,Android
